event_id,customer_id,event_time,event_type,amount,currency,payment_method,failure_reason,attempt_count,successful_payments,failed_payments,customer_age_days,customer_lifetime_value,days_since_last_payment,checkout_duration_seconds,prior_recovery_rate,intervention,recovered,recovered_amount
EVT-001854,CUS-102251,2026-01-01T04:50:00+00:00,payment.failed,1403.24,INR,upi,transient_failure,2,0,4,579,75957.24,72.87,21.7,0.874,PAYMENT_LINK,1,1403.24
EVT-010918,CUS-100231,2026-01-01T05:10:00+00:00,subscription.failed,22383.41,INR,wallet,expired_method,1,4,7,1162,170772.51,102.63,140.0,0.913,STOP,0,0
EVT-009635,CUS-100581,2026-01-01T06:29:00+00:00,invoice.overdue,3177.41,INR,card,invoice_delay,0,2,3,543,249297.52,3.56,160.0,0.794,HUMAN_REVIEW,1,3177.41
EVT-004140,CUS-102474,2026-01-01T07:05:00+00:00,payment.failed,2743.28,INR,card,transient_failure,2,2,6,518,127015.25,112.92,176.9,0.886,RETRY,0,0
EVT-000145,CUS-102241,2026-01-01T08:26:00+00:00,payment.failed,2958.75,INR,card,insufficient_balance,0,0,2,1200,32411.8,61.14,164.9,0.0,ALTERNATIVE_METHOD,0,0
EVT-001950,CUS-101040,2026-01-01T08:46:00+00:00,payment.failed,6115.25,INR,wallet,network_error,0,0,1,1237,48664.97,115.87,96.1,0.0,PAYMENT_LINK,0,0
EVT-006009,CUS-102536,2026-01-01T09:14:00+00:00,payment.failed,12639.36,INR,netbanking,expired_method,2,3,7,981,243069.03,117.82,823.5,0.744,STOP,0,0
EVT-001573,CUS-100849,2026-01-01T09:53:00+00:00,checkout.abandoned,1921.56,INR,upi,customer_abandonment,1,0,0,112,106967.89,98.02,589.5,0.0,PAYMENT_LINK,1,1921.56
EVT-003653,CUS-100997,2026-01-01T10:52:00+00:00,payment.failed,3002.2,INR,upi,insufficient_balance,2,2,1,1349,73725.26,78.48,810.2,0.785,REMINDER,1,3002.2
EVT-000721,CUS-102230,2026-01-01T11:16:00+00:00,subscription.failed,4020.89,INR,wallet,expired_method,0,0,4,1244,229129.68,86.79,17.4,0.0,STOP,0,0
EVT-002940,CUS-101855,2026-01-01T12:43:00+00:00,payment.failed,1802.06,INR,upi,insufficient_balance,2,0,4,934,53007.85,82.95,596.2,0.0,STOP,0,0
EVT-009664,CUS-101649,2026-01-01T13:30:00+00:00,payment.failed,7700.26,INR,card,repeated_failure,0,0,1,586,212641.7,8.79,782.2,0.576,REMINDER,0,0
EVT-009523,CUS-102760,2026-01-01T13:45:00+00:00,payment.failed,3825.05,INR,wallet,bank_decline,0,4,0,437,157297.17,52.0,112.0,0.0,RETRY,1,3825.05
EVT-007643,CUS-100199,2026-01-01T13:56:00+00:00,checkout.abandoned,1122.44,INR,wallet,customer_abandonment,0,0,0,421,82642.88,99.96,83.8,0.0,STOP,0,0
EVT-001064,CUS-102415,2026-01-01T13:58:00+00:00,payment.failed,3130.63,INR,wallet,repeated_failure,0,0,1,308,157789.12,51.96,505.8,0.0,STOP,0,0
EVT-007606,CUS-100369,2026-01-01T15:03:00+00:00,payment.failed,3003.09,INR,card,bank_decline,1,1,2,1302,133779.15,113.58,538.9,0.215,STOP,0,0
EVT-000243,CUS-101212,2026-01-01T15:30:00+00:00,subscription.failed,4445.54,INR,upi,expired_method,1,0,1,661,144952.09,84.76,712.3,0.0,STOP,0,0
EVT-000324,CUS-101716,2026-01-01T15:31:00+00:00,subscription.failed,10771.62,INR,netbanking,insufficient_balance,0,0,4,122,73284.16,40.68,380.6,0.0,PAYMENT_LINK,0,0
EVT-006713,CUS-101356,2026-01-01T15:48:00+00:00,checkout.abandoned,5347.04,INR,netbanking,customer_abandonment,1,2,5,822,6487.92,53.63,480.3,0.275,REMINDER,0,0
EVT-003636,CUS-102567,2026-01-01T17:02:00+00:00,checkout.abandoned,1839.43,INR,wallet,customer_abandonment,0,1,0,984,122660.88,92.22,728.3,0.625,REMINDER,1,1839.43
EVT-010436,CUS-102496,2026-01-01T17:12:00+00:00,payment.degraded,909.97,INR,netbanking,systemic_degradation,1,4,6,171,209744.5,80.37,397.0,0.606,HUMAN_REVIEW,0,0
EVT-009896,CUS-100463,2026-01-01T17:17:00+00:00,payment.failed,14177.99,INR,card,bank_decline,0,1,3,873,116051.38,44.27,353.9,0.61,ALTERNATIVE_METHOD,1,14177.99
EVT-002690,CUS-100625,2026-01-01T17:49:00+00:00,payment.failed,3933.95,INR,wallet,expired_method,3,0,0,468,105889.16,61.32,340.6,0.0,STOP,0,0
EVT-009225,CUS-102708,2026-01-01T17:50:00+00:00,payment.failed,2561.78,INR,netbanking,network_error,2,2,3,1136,110458.04,29.67,230.1,0.424,REMINDER,1,2561.78
EVT-008094,CUS-100695,2026-01-01T17:55:00+00:00,checkout.abandoned,4859.36,INR,card,customer_abandonment,1,2,4,399,64680.03,116.87,745.6,0.127,PAYMENT_LINK,1,4859.36
EVT-003596,CUS-101805,2026-01-01T18:33:00+00:00,subscription.failed,1440.53,INR,wallet,insufficient_balance,3,2,3,623,226601.67,57.49,306.0,0.507,PAYMENT_LINK,0,0
EVT-010609,CUS-102734,2026-01-01T18:51:00+00:00,subscription.failed,5911.39,INR,netbanking,transient_failure,0,0,1,561,231978.98,92.63,746.2,0.576,RETRY,1,5911.39
EVT-002910,CUS-102620,2026-01-01T19:46:00+00:00,invoice.overdue,6613.0,INR,netbanking,invoice_delay,3,0,2,541,218799.64,65.54,537.5,0.0,STOP,0,0
EVT-005733,CUS-100887,2026-01-01T20:27:00+00:00,payment.failed,2585.43,INR,upi,insufficient_balance,2,2,5,464,16403.46,9.03,43.9,0.088,PAYMENT_LINK,1,2585.43
EVT-004893,CUS-101714,2026-01-01T20:38:00+00:00,invoice.overdue,2854.48,INR,wallet,invoice_delay,2,3,5,1255,75053.8,27.34,81.5,0.206,HUMAN_REVIEW,1,2854.48
EVT-007575,CUS-102030,2026-01-01T20:39:00+00:00,invoice.overdue,7333.8,INR,upi,invoice_delay,0,4,1,639,157608.52,59.16,331.8,0.766,RETRY,0,0
EVT-003006,CUS-102059,2026-01-01T20:49:00+00:00,payment.failed,7211.79,INR,upi,network_error,2,2,6,384,124061.32,28.3,40.8,0.056,RETRY,0,0
EVT-007907,CUS-101843,2026-01-01T20:51:00+00:00,payment.failed,75000,INR,card,insufficient_balance,2,1,2,1362,187318.61,69.29,658.2,0.456,PAYMENT_LINK,1,75000
EVT-009078,CUS-102565,2026-01-01T21:10:00+00:00,payment.failed,11235.79,INR,upi,insufficient_balance,1,1,5,264,107586.42,109.19,234.0,0.594,HUMAN_REVIEW,0,0
EVT-006398,CUS-100100,2026-01-01T22:28:00+00:00,payment.failed,11966.4,INR,upi,repeated_failure,0,1,4,1365,42278.89,16.07,27.1,0.217,PAYMENT_LINK,0,0
EVT-004159,CUS-101081,2026-01-01T22:32:00+00:00,payment.failed,4175.99,INR,upi,bank_decline,3,1,2,1039,244238.35,113.29,530.0,0.028,STOP,0,0
EVT-008107,CUS-102087,2026-01-01T22:33:00+00:00,payment.failed,818.42,INR,upi,network_error,0,3,3,228,221862.11,86.18,17.2,0.455,PAYMENT_LINK,1,818.42
EVT-010647,CUS-102577,2026-01-01T22:56:00+00:00,payment.failed,1543.93,INR,card,repeated_failure,0,5,1,1178,132478.01,5.21,345.3,0.346,ALTERNATIVE_METHOD,1,1543.93
EVT-005819,CUS-102591,2026-01-01T23:29:00+00:00,payment.failed,4731.72,INR,wallet,network_error,2,1,3,1288,106840.42,21.47,446.1,0.541,PAYMENT_LINK,0,0
EVT-005030,CUS-102835,2026-01-01T23:41:00+00:00,payment.failed,3596.26,INR,card,bank_decline,2,0,4,1029,249411.87,74.9,801.3,0.0,STOP,0,0
EVT-005717,CUS-101796,2026-01-01T23:45:00+00:00,payment.failed,666.16,INR,netbanking,insufficient_balance,3,1,5,1384,129395.99,30.32,595.8,0.511,STOP,0,0
EVT-003241,CUS-100681,2026-01-02T00:39:00+00:00,payment.failed,7244.52,INR,netbanking,transient_failure,3,1,0,55,229571.09,23.39,150.3,0.4,ALTERNATIVE_METHOD,1,7244.52
EVT-011583,CUS-100645,2026-01-02T00:41:00+00:00,checkout.abandoned,595.73,INR,netbanking,customer_abandonment,1,6,7,506,196151.9,35.53,153.7,0.715,ALTERNATIVE_METHOD,0,0
EVT-003158,CUS-102469,2026-01-02T01:15:00+00:00,payment.failed,3380.78,INR,netbanking,insufficient_balance,0,2,4,1246,86420.51,98.33,443.9,0.705,REMINDER,1,3380.78
EVT-011062,CUS-100696,2026-01-02T01:23:00+00:00,subscription.failed,11388.19,INR,card,transient_failure,0,6,3,370,152701.71,11.27,886.4,0.452,RETRY,1,11388.19
EVT-011485,CUS-102996,2026-01-02T02:49:00+00:00,checkout.abandoned,2610.74,INR,card,customer_abandonment,0,0,4,84,245949.76,16.6,144.4,0.037,REMINDER,1,2610.74
EVT-011086,CUS-101201,2026-01-02T03:03:00+00:00,invoice.overdue,11532.65,INR,card,invoice_delay,0,2,5,582,32770.56,96.29,297.5,0.567,STOP,0,0
EVT-001465,CUS-101909,2026-01-02T03:21:00+00:00,checkout.abandoned,45239.9,INR,netbanking,customer_abandonment,1,0,3,730,160089.5,40.02,876.8,0.0,STOP,0,0
EVT-008957,CUS-101955,2026-01-02T03:43:00+00:00,checkout.abandoned,6438.89,INR,upi,customer_abandonment,1,3,4,553,238243.61,114.67,614.0,0.24,PAYMENT_LINK,0,0
EVT-002896,CUS-102018,2026-01-02T03:52:00+00:00,payment.degraded,10705.93,INR,card,systemic_degradation,1,0,2,36,56470.8,8.95,378.0,0.454,PAYMENT_LINK,1,10705.93
EVT-004680,CUS-102562,2026-01-02T04:25:00+00:00,payment.failed,1461.36,INR,wallet,bank_decline,2,2,3,1258,198992.96,114.24,133.4,0.501,STOP,0,0
EVT-006818,CUS-100090,2026-01-02T04:27:00+00:00,checkout.abandoned,12390.26,INR,card,customer_abandonment,0,2,0,1070,92554.46,61.64,161.4,0.376,PAYMENT_LINK,1,12390.26
EVT-007717,CUS-102887,2026-01-02T04:38:00+00:00,subscription.failed,8408.18,INR,upi,insufficient_balance,1,3,5,1132,143556.96,20.69,613.1,0.739,PAYMENT_LINK,0,0
EVT-004555,CUS-100144,2026-01-02T04:48:00+00:00,subscription.failed,19673.74,INR,card,insufficient_balance,2,2,5,959,127914.72,63.35,381.7,0.312,STOP,0,0
EVT-008497,CUS-102014,2026-01-02T05:18:00+00:00,payment.failed,2208.25,INR,upi,insufficient_balance,2,0,2,453,100468.24,10.94,806.9,0.0,STOP,0,0
EVT-007222,CUS-102949,2026-01-02T05:26:00+00:00,payment.failed,4762.12,INR,card,transient_failure,0,2,6,939,123450.27,119.57,251.7,0.815,STOP,1,4762.12
EVT-005865,CUS-102606,2026-01-02T05:41:00+00:00,subscription.failed,7805.86,INR,upi,expired_method,2,3,7,568,54646.38,95.32,651.9,0.622,STOP,1,7805.86
EVT-005207,CUS-100118,2026-01-02T06:02:00+00:00,checkout.abandoned,9560.6,INR,upi,customer_abandonment,0,1,2,1009,108045.06,20.41,697.0,0.477,PAYMENT_LINK,1,9560.6
EVT-007315,CUS-101365,2026-01-02T06:05:00+00:00,payment.failed,21672.43,INR,upi,network_error,3,2,4,239,199654.13,58.18,715.6,0.313,ALTERNATIVE_METHOD,0,0
EVT-000723,CUS-101878,2026-01-02T07:16:00+00:00,subscription.failed,1358.58,INR,upi,insufficient_balance,1,0,3,89,103486.4,40.66,263.0,0.0,STOP,0,0
EVT-008699,CUS-101468,2026-01-02T07:25:00+00:00,payment.failed,6095.16,INR,wallet,repeated_failure,1,2,5,489,61286.63,64.83,25.9,0.21,STOP,0,0
EVT-008234,CUS-102837,2026-01-02T07:26:00+00:00,subscription.failed,16788.14,INR,card,expired_method,1,4,4,1255,239493.6,14.15,599.1,0.812,PAYMENT_LINK,0,0
EVT-008307,CUS-102249,2026-01-02T08:05:00+00:00,payment.failed,4568.74,INR,netbanking,insufficient_balance,1,2,5,440,46019.59,102.9,350.2,0.722,STOP,0,0
EVT-001801,CUS-101074,2026-01-02T09:13:00+00:00,payment.failed,1911.81,INR,wallet,bank_decline,1,0,1,1345,159114.07,113.93,398.9,0.0,ALTERNATIVE_METHOD,1,1911.81
EVT-001864,CUS-100134,2026-01-02T09:38:00+00:00,payment.failed,782.31,INR,upi,transient_failure,3,0,0,515,205641.88,4.59,717.7,0.0,PAYMENT_LINK,0,0
EVT-009307,CUS-100365,2026-01-02T10:38:00+00:00,checkout.abandoned,8580.32,INR,card,customer_abandonment,0,5,0,992,17942.37,84.13,695.1,0.215,RETRY,1,8580.32
EVT-009417,CUS-102995,2026-01-02T10:58:00+00:00,checkout.abandoned,5141.67,INR,upi,customer_abandonment,0,0,3,711,136431.85,51.29,259.0,0.269,STOP,0,0
EVT-010506,CUS-100781,2026-01-02T11:34:00+00:00,payment.failed,14220.74,INR,upi,network_error,3,3,4,580,84924.68,25.55,721.9,0.106,PAYMENT_LINK,1,14220.74
EVT-003379,CUS-101418,2026-01-02T12:04:00+00:00,payment.failed,5131.67,INR,wallet,insufficient_balance,2,4,5,176,183787.94,107.94,693.1,0.012,RETRY,0,0
EVT-002366,CUS-100652,2026-01-02T13:02:00+00:00,payment.degraded,3436.1,INR,wallet,systemic_degradation,3,1,5,497,158056.1,69.17,238.8,0.751,STOP,0,0
EVT-002314,CUS-100716,2026-01-02T13:21:00+00:00,payment.failed,4557.44,INR,netbanking,repeated_failure,2,2,5,693,7745.66,66.89,327.6,0.656,STOP,0,0
EVT-008484,CUS-102387,2026-01-02T13:31:00+00:00,payment.degraded,2051.41,INR,upi,systemic_degradation,1,2,3,738,72063.51,105.59,853.2,0.731,PAYMENT_LINK,0,0
EVT-007187,CUS-100756,2026-01-02T13:44:00+00:00,payment.failed,2499.5,INR,wallet,repeated_failure,0,5,2,1251,23816.27,26.53,654.3,0.401,RETRY,1,2499.5
EVT-011546,CUS-101361,2026-01-02T13:48:00+00:00,payment.failed,575.28,INR,card,repeated_failure,2,7,7,327,172958.86,55.06,859.8,0.912,WAIT,1,575.28
EVT-001618,CUS-101793,2026-01-02T13:53:00+00:00,payment.failed,1196.54,INR,card,bank_decline,1,2,3,1255,127837.77,88.2,822.5,0.163,STOP,0,0
EVT-009204,CUS-100793,2026-01-02T14:33:00+00:00,invoice.overdue,2978.87,INR,netbanking,invoice_delay,0,3,0,956,80536.71,41.08,80.8,0.264,PAYMENT_LINK,1,2978.87
EVT-000233,CUS-102983,2026-01-02T14:49:00+00:00,payment.failed,1608.66,INR,upi,transient_failure,3,0,1,289,183373.99,100.35,93.1,0.0,STOP,0,0
EVT-002468,CUS-102030,2026-01-02T14:51:00+00:00,payment.failed,2604.28,INR,upi,insufficient_balance,3,0,2,639,157608.52,70.43,411.7,0.0,STOP,0,0
EVT-003272,CUS-100274,2026-01-02T14:53:00+00:00,checkout.abandoned,5961.76,INR,wallet,customer_abandonment,1,1,4,699,11679.76,70.85,184.4,0.254,PAYMENT_LINK,0,0
EVT-010818,CUS-100490,2026-01-02T14:55:00+00:00,payment.failed,1494.5,INR,card,transient_failure,1,1,5,801,173691.35,109.48,686.4,0.408,STOP,0,0
EVT-006679,CUS-102798,2026-01-02T15:25:00+00:00,payment.degraded,2578.55,INR,wallet,systemic_degradation,1,1,3,803,213343.86,114.33,705.8,0.599,PAYMENT_LINK,0,0
EVT-005043,CUS-102230,2026-01-02T15:36:00+00:00,invoice.overdue,1061.51,INR,wallet,invoice_delay,0,5,6,1244,229129.68,30.79,212.0,0.195,WAIT,1,1061.51
EVT-001270,CUS-102113,2026-01-02T16:51:00+00:00,payment.degraded,10641.31,INR,card,systemic_degradation,3,1,0,869,135092.08,89.75,735.8,0.074,REMINDER,1,10641.31
EVT-004235,CUS-101464,2026-01-02T17:14:00+00:00,checkout.abandoned,19627.34,INR,card,customer_abandonment,0,1,4,953,25816.72,86.87,351.2,0.3,STOP,0,0
EVT-005405,CUS-101836,2026-01-02T18:51:00+00:00,subscription.failed,12756.63,INR,card,insufficient_balance,3,1,3,1273,95073.53,114.28,537.1,0.627,STOP,0,0
EVT-011204,CUS-101147,2026-01-02T19:24:00+00:00,subscription.failed,5857.95,INR,card,insufficient_balance,3,1,2,670,168752.71,81.32,457.1,0.252,STOP,0,0
EVT-005670,CUS-100877,2026-01-02T19:35:00+00:00,subscription.failed,8118.98,INR,card,expired_method,3,1,3,364,43609.08,16.8,713.2,0.039,STOP,0,0
EVT-005843,CUS-100292,2026-01-02T19:38:00+00:00,invoice.overdue,39455.75,INR,wallet,invoice_delay,0,2,0,1044,245184.27,28.21,131.7,0.403,WAIT,0,0
EVT-004297,CUS-102089,2026-01-02T19:42:00+00:00,payment.failed,4387.38,INR,wallet,transient_failure,3,1,2,1062,163207.88,91.56,113.1,0.73,WAIT,0,0
EVT-004456,CUS-101341,2026-01-02T20:56:00+00:00,subscription.failed,1058.32,INR,card,expired_method,2,1,3,548,211514.9,8.29,365.2,0.553,STOP,0,0
EVT-006582,CUS-101118,2026-01-02T21:16:00+00:00,subscription.failed,1421.31,INR,upi,expired_method,1,1,4,866,62696.34,20.76,460.5,0.005,STOP,0,0
EVT-004118,CUS-100828,2026-01-02T21:51:00+00:00,checkout.abandoned,9376.49,INR,upi,customer_abandonment,1,2,3,551,199583.55,93.07,257.5,0.731,PAYMENT_LINK,1,9376.49
EVT-001093,CUS-101249,2026-01-02T22:41:00+00:00,invoice.overdue,4667.97,INR,card,invoice_delay,2,1,2,1015,132630.52,37.76,828.1,0.496,STOP,0,0
EVT-003907,CUS-101052,2026-01-03T00:20:00+00:00,checkout.abandoned,35175.53,INR,upi,customer_abandonment,1,2,6,1273,112752.34,54.15,341.1,0.193,RETRY,1,35175.53
EVT-003721,CUS-102286,2026-01-03T00:30:00+00:00,checkout.abandoned,4634.93,INR,card,customer_abandonment,1,1,4,1072,26135.58,86.26,420.5,0.122,WAIT,0,0
EVT-006401,CUS-102902,2026-01-03T00:34:00+00:00,subscription.failed,1552.49,INR,card,bank_decline,2,1,4,1202,238522.66,103.24,445.0,0.454,STOP,0,0
EVT-005916,CUS-102191,2026-01-03T02:16:00+00:00,payment.failed,7519.86,INR,upi,transient_failure,3,4,5,507,226482.15,5.28,437.7,0.917,WAIT,0,0
EVT-001591,CUS-102217,2026-01-03T02:17:00+00:00,checkout.abandoned,1945.87,INR,upi,customer_abandonment,0,2,0,245,74440.51,49.98,566.0,0.831,RETRY,1,1945.87
EVT-010103,CUS-102368,2026-01-03T02:27:00+00:00,invoice.overdue,815.94,INR,upi,invoice_delay,3,1,0,1356,234481.28,32.28,855.5,0.01,WAIT,0,0
EVT-009937,CUS-102813,2026-01-03T02:50:00+00:00,checkout.abandoned,2868.04,INR,netbanking,customer_abandonment,0,0,4,1138,87358.82,54.47,826.2,0.0,RETRY,0,0
EVT-009085,CUS-102294,2026-01-03T03:30:00+00:00,checkout.abandoned,2651.81,INR,card,customer_abandonment,0,2,3,1260,97697.24,26.61,515.1,0.116,RETRY,1,2651.81
EVT-002962,CUS-100935,2026-01-03T04:51:00+00:00,subscription.failed,13551.44,INR,wallet,transient_failure,1,1,5,447,119775.65,114.42,596.2,0.924,ALTERNATIVE_METHOD,0,0
EVT-005612,CUS-102902,2026-01-03T05:42:00+00:00,subscription.failed,4752.48,INR,card,transient_failure,0,0,1,1202,238522.66,84.47,865.1,0.0,PAYMENT_LINK,1,4752.48
EVT-003693,CUS-100376,2026-01-03T06:05:00+00:00,invoice.overdue,3185.53,INR,wallet,invoice_delay,0,2,1,288,65774.13,85.64,618.3,0.749,PAYMENT_LINK,0,0
EVT-009556,CUS-100762,2026-01-03T06:12:00+00:00,checkout.abandoned,5306.33,INR,netbanking,customer_abandonment,1,0,0,474,131455.64,57.29,661.0,0.0,PAYMENT_LINK,1,5306.33
EVT-000489,CUS-102353,2026-01-03T06:34:00+00:00,payment.failed,6618.94,INR,netbanking,insufficient_balance,0,0,0,171,5278.07,40.72,403.5,0.0,RETRY,1,6618.94
EVT-000703,CUS-102574,2026-01-03T06:46:00+00:00,payment.degraded,731.32,INR,card,systemic_degradation,1,0,2,1186,141790.4,74.3,21.0,0.0,WAIT,1,731.32
EVT-001565,CUS-100553,2026-01-03T07:26:00+00:00,payment.failed,6789.28,INR,upi,expired_method,1,0,4,990,81516.27,11.33,842.0,0.0,PAYMENT_LINK,0,0
EVT-011460,CUS-100257,2026-01-03T07:34:00+00:00,payment.failed,1201.52,INR,netbanking,transient_failure,1,5,4,911,140618.28,55.63,180.5,0.772,RETRY,0,0
EVT-004593,CUS-102804,2026-01-03T07:41:00+00:00,checkout.abandoned,1042.05,INR,netbanking,customer_abandonment,1,1,1,836,249014.04,54.23,799.8,0.58,RETRY,1,1042.05
EVT-006714,CUS-101975,2026-01-03T08:14:00+00:00,payment.degraded,7696.2,INR,netbanking,systemic_degradation,0,2,6,397,34584.61,55.65,381.3,0.392,WAIT,0,0
EVT-001926,CUS-100780,2026-01-03T08:15:00+00:00,subscription.failed,2730.7,INR,netbanking,transient_failure,2,0,1,1211,249715.84,46.48,176.1,0.0,RETRY,0,0
EVT-009799,CUS-100296,2026-01-03T08:20:00+00:00,payment.failed,3244.84,INR,upi,repeated_failure,1,4,7,246,66277.14,30.17,784.0,0.031,WAIT,0,0
EVT-008135,CUS-101137,2026-01-03T08:26:00+00:00,checkout.abandoned,8090.88,INR,card,customer_abandonment,0,2,4,28,112435.13,60.01,355.6,0.61,ALTERNATIVE_METHOD,1,8090.88
EVT-000008,CUS-101896,2026-01-03T08:59:00+00:00,checkout.abandoned,1858.21,INR,card,customer_abandonment,0,0,1,821,131331.25,22.22,17.4,0.0,RETRY,0,0
EVT-000679,CUS-100806,2026-01-03T09:08:00+00:00,invoice.overdue,11805.24,INR,netbanking,invoice_delay,3,0,1,1080,132233.18,110.32,462.5,0.0,STOP,0,0
EVT-007992,CUS-100920,2026-01-03T09:32:00+00:00,checkout.abandoned,2184.61,INR,upi,customer_abandonment,0,2,2,1150,65165.25,61.88,875.1,0.422,RETRY,0,0
EVT-001363,CUS-100013,2026-01-03T09:33:00+00:00,invoice.overdue,4397.99,INR,wallet,invoice_delay,1,0,0,67,165976.51,28.38,569.8,0.0,RETRY,0,0
EVT-000716,CUS-100926,2026-01-03T09:42:00+00:00,payment.failed,1636.81,INR,netbanking,transient_failure,1,0,0,769,128218.56,49.36,488.9,0.0,RETRY,0,0
EVT-003266,CUS-101751,2026-01-03T09:46:00+00:00,subscription.failed,5362.55,INR,wallet,insufficient_balance,0,0,0,923,125682.4,35.11,290.2,0.0,WAIT,0,0
EVT-002712,CUS-100097,2026-01-03T10:24:00+00:00,payment.failed,855.88,INR,upi,insufficient_balance,3,2,6,321,143654.4,73.93,828.7,0.756,STOP,0,0
EVT-010916,CUS-100475,2026-01-03T12:24:00+00:00,checkout.abandoned,8518.94,INR,card,customer_abandonment,1,2,2,709,239240.87,71.02,298.5,0.68,WAIT,1,8518.94
EVT-002757,CUS-100495,2026-01-03T13:33:00+00:00,checkout.abandoned,5827.78,INR,upi,customer_abandonment,0,1,0,58,132742.15,48.54,426.0,0.088,RETRY,1,5827.78
EVT-006884,CUS-100491,2026-01-03T14:05:00+00:00,checkout.abandoned,4337.8,INR,upi,customer_abandonment,1,3,3,1350,113445.28,3.74,384.4,0.342,REMINDER,0,0
EVT-003088,CUS-100672,2026-01-03T14:20:00+00:00,checkout.abandoned,4865.99,INR,netbanking,customer_abandonment,1,1,1,1187,129043.11,44.25,778.7,0.791,REMINDER,0,0
EVT-011984,CUS-100067,2026-01-03T15:32:00+00:00,invoice.overdue,11266.74,INR,wallet,invoice_delay,2,5,3,1264,55052.49,12.01,53.3,0.157,RETRY,1,11266.74
EVT-000097,CUS-102785,2026-01-03T15:39:00+00:00,payment.failed,3376.01,INR,upi,transient_failure,2,0,1,284,158162.41,11.65,846.2,0.0,PAYMENT_LINK,0,0
EVT-010950,CUS-100226,2026-01-03T15:54:00+00:00,payment.failed,2087.02,INR,upi,insufficient_balance,0,2,4,521,12919.69,87.82,489.2,0.73,RETRY,1,2087.02
EVT-007657,CUS-100334,2026-01-03T16:19:00+00:00,subscription.failed,891.79,INR,upi,bank_decline,0,1,2,1145,47925.0,33.85,602.8,0.141,REMINDER,1,891.79
EVT-006566,CUS-100880,2026-01-03T16:22:00+00:00,payment.failed,4478.52,INR,wallet,insufficient_balance,3,1,5,1317,137684.8,24.69,397.4,0.058,STOP,0,0
EVT-007001,CUS-102599,2026-01-03T17:38:00+00:00,checkout.abandoned,8616.18,INR,wallet,customer_abandonment,1,0,1,1245,94541.28,54.96,134.0,0.301,RETRY,1,8616.18
EVT-001337,CUS-100986,2026-01-03T17:58:00+00:00,payment.failed,14289.81,INR,card,transient_failure,1,0,3,510,69976.71,2.97,810.1,0.0,HUMAN_REVIEW,0,0
EVT-004910,CUS-101914,2026-01-03T18:52:00+00:00,invoice.overdue,3533.76,INR,upi,invoice_delay,1,1,1,393,22404.93,66.55,85.3,0.084,RETRY,1,3533.76
EVT-004898,CUS-101879,2026-01-03T19:52:00+00:00,payment.failed,2864.68,INR,card,network_error,2,3,6,250,174781.6,116.9,681.1,0.479,PAYMENT_LINK,0,0
EVT-001718,CUS-100534,2026-01-03T22:29:00+00:00,subscription.failed,2797.18,INR,upi,insufficient_balance,3,2,0,716,196921.84,58.51,15.1,0.879,RETRY,1,2797.18
EVT-004426,CUS-101833,2026-01-03T22:37:00+00:00,checkout.abandoned,1711.06,INR,netbanking,customer_abandonment,0,1,3,871,181316.31,7.76,650.2,0.647,REMINDER,0,0
